id	lon	lat	label
2484	-121.98452	37.127051	Headwaters of Bean Creek
2488	-118.227883	34.238519	AQMD_NASA_32
2496	-118.071696	34.085007	SCEM_07
2504	-118.033491	34.064914	SCEM_03
2516	-118.063419	34.161382	AQMD_NASA_26
2530	-121.031	39.023	Bear River Winery
2552	-122.408042	37.778415	Tactrix
2574	-122.286133	37.900737	Berkeley Park and Coventry, Kensington, CA, USA
2586	-121.161661	38.653388	Prairie Oaks
2590	-118.427447	34.067079	SCUV_22
2596	-115.556972	32.792861	SCIV_03
2600	-122.661741	38.436621	Bennett Valley
2602	-115.479435	32.68138	SCIV_02 Herrera
2606	-117.828919	34.001712	SCFR_02
2610	-118.427717	34.025326	SCUV_30Indoor
2612	-117.415949	33.999515	RIVR_Co-loc7
2614	-118.426355	34.0239	SCUV_28Indoor
2616	-118.428135	34.023177	SCUV_23Indoor
2618	-118.429112	34.02415	SCUV_27Indoor
2620	-118.426298	34.023962	SCUV_26
2622	-118.427742	34.024941	SCUV_29Indoor
2624	-118.429564	34.024834	SCUV_21Indoor
2626	-118.456506	34.05121	SCFR_03
2628	-118.427022	34.024008	SCUV_25Indoor
2630	-115.551843	32.981208	SCIV_06
2632	-118.426688	34.024327	SCUV_24Indoor
2634	-115.471107	32.691833	SCIV_05
2636	-118.430459	33.955081	SCFR_01
2638	-119.412321	37.074352	Sierra Remote Observatories
2649	-118.579069	34.294777	Porter Ranch
2653	-117.171232	32.746584	SD Home
2658	-121.126924	38.681719	Eggy's House
2673	-123.331123	41.259636	Forks of Salmon, CA
2691	-118.406339	34.020148	AQMD_NASA_7a
2693	-118.011357	34.054506	SCEM_04
2701	-118.56294	34.07508	AQMD_NASA_23
2703	-118.354068	34.067663	SCPLB_01
2710	-118.894627	34.180399	AQMD_NASA_28
2713	-118.031259	34.071633	scem_06
2715	-116.865456	34.242023	AQMD_BGBR_01
2717	-120.665822	35.494841	Atascadero
2721	-120.2314	35.643707	Red Hills2
2723	-117.809382	33.557683	AQMD_NASA_39
2725	-116.958165	33.765104	SCSJ_02
2729	-117.433194	33.9266	RUSD_12 (Chemawa MS)
2735	-118.044144	34.037224	SCEM_02
2747	-115.524357	32.98632	695 North 11th street Brawley CA 92227
2749	-118.126993	34.174784	AQMD_NASA_38
2751	-118.448915	34.06282	AQMD_NASA_24
2754	-115.5467	32.984393	333 West A Street
2756	-118.17295	33.768719	AQMD_NASA_20
2758	-117.416764	33.999978	RIVR_Co-loc8
2760	-115.53849	32.981383	Brawley Ca
2762	-115.519979	32.981536	350 N. 13 St. Brawley, CA 
